"","CD_REFNIS","TOTAL","Post code","Submunicipality code"
"62","12029",18631,"2580","12029A"
"63","12035",21595,"2860","12035A"
"64","12035",21595,"2861","12035B"
"65","12040",27773,"2830","12040A"
"66","12041",26772,"2870","12030A"
"67","12041",26772,"2890","12034B"
"68","13001",13344,"2370","13001A"
"69","13002",3012,"2387","13002A"
"70","13003",23308,"2490","13003A"
"71","13003",23308,"2491","13003B"
"72","13004",18416,"2340","13004A"
"73","13006",9805,"2400","13006A"
"74","13006",9805,"2480","13006A"
"75","13008",41828,"2440","13008-Z"
"76","13010",11519,"2280","13010A"
"77","13010",11519,"2288","13010B"
"78","13011",28575,"2200","13011A"
"79","13012",9417,"2270","13012A"
"80","13013",14805,"2230","13013A"
"81","13014",22245,"2320","13014A"
"82","13014",22245,"2321","13014C"
"83","13014",22245,"2323","13014E"
"84","13014",22245,"2328","13014D"
"85","13016",10564,"2235","13016C"
"86","13017",19478,"2460","13017B"
"87","13019",16871,"2275","13019A"
"88","13021",10348,"2450","13021A"
"89","13023",8799,"2330","13023A"
"90","13025",38159,NA,NA
"91","13029",12689,"2250","13029A"
"92","13031",14734,"2360","13031A"
"93","13035",15338,"2382","13035C"
"94","13035",15338,"2381","13035B"
"95","13035",15338,"2380","13035A"
"96","13036",11841,"2470","13036A"
"97","13037",12531,"2310","13037A"
"98","13040",46923,"2300","13040A"
"99","13044",8044,"2290","13044A"
"100","13046",11802,"2350","13046A"
"101","13049",25466,"2260","13049B"
"102","13053",16707,"2431","13053A"
"103","13053",16707,"2430","13053D"
"104","21001",125065,"1070","21001-Z"
"105","21002",35346,"1160","21002A"
"106","21003",25396,"1082","21003A"
"107","21004",194291,"1006","21004-Z"
"108","21004",194291,"1120","21004-Z"
"109","21004",194291,"1130","21004-Z"
"110","21004",194291,"1105","21004-Z"
"111","21004",194291,"1040","21004-Z"
"112","21004",194291,"1020","21004-Z"
"113","21004",194291,"1041","21004-Z"
"114","21004",194291,"1008","21004-Z"
"115","21004",194291,"612","21004-Z"
"116","21004",194291,"1000","21004-Z"
"117","21004",194291,"1110","21004-Z"
"118","21004",194291,"1005","21004-Z"
"119","21004",194291,"1099","21004-Z"
"120","21004",194291,"1009","21004-Z"
"121","21004",194291,"1048","21004-Z"
"122","21004",194291,"1011","21004-Z"
"123","21004",194291,"1012","21004-Z"
"124","21004",194291,"1007","21004-Z"
"125","21005",49558,"1040","21005A"
"126","21006",44255,"1049","21006A"
"127","21006",44255,"1046","21006A"
"128","21006",44255,"1140","21006A"
"129","21007",57724,"1190","21007A"
"130","21008",25548,"1083","21008A"
"131","21009",88521,"1050","21009A"
"132","21009",88521,"1047","21009A"
"133","21009",88521,"1000","21009A"
"134","21010",53704,"1090","21010A"
"135","21011",22563,"1081","21011A"
"136","21012",98270,"1080","21012A"
"137","21013",49323,"1060","21013A"
"138","21013",49323,"1050","21013A"
"139","21014",27068,"1000","21014A"
"140","21014",27068,"1212","21014A"
"141","21014",27068,"1210","21014A"
"142","21015",130775,"1033","21015A"
"143","21015",130775,"1043","21015A"
"144","21015",130775,"1031","21015A"
"145","21015",130775,"1035","21015A"
"146","21015",130775,"1030","21015A"
"147","21015",130775,"1044","21015A"
"148","21016",86101,"1180","21016A"
"149","21017",25392,"1170","21017A"
"150","21018",59778,"1200","21018A"
"151","21019",42497,"1150","21019A"
"152","23002",35191,"1731","23002D"
"153","23002",35191,"1730","23002A"
"154","23002",35191,"1733","23002A"
"155","23003",26474,"1654","23003D"
"156","23003",26474,"1653","23003C"
"157","23003",26474,"1650","23003A"
"158","23003",26474,"1651","23003E"
"159","23003",26474,"1652","23003B"
"160","23009",2265,"1547","23009A"
"161","23016",44650,"1700","23016A"
"162","23016",44650,"1703","23016E"
"163","23016",44650,"1702","23016C"
"164","23016",44650,"1701","23016A"
"165","23016",44650,"1701","23016D"
"166","23023",8912,"1570","23023C"
"167","23024",9428,"1755","23024B"
"168","23025",39368,"1852","23025C"
"169","23025",39368,"1851","23025D"
"170","23025",39368,"1850","23025A"
"171","23025",39368,"1853","23025B"
"172","23027",42047,"1501","23027B"
"173","23027",42047,"1502","23027C"
"174","23027",42047,"1500","23027A"
"175","23032",6763,"1540","23032A"
"176","23032",6763,"1541","23032C"
"177","23033",11537,"1560","23033A"
"178","23038",12445,"1910","23038A"
"179","23039",9659,"1880","23039A"
"180","23044",13877,"1770","23044A"
"181","23045",19288,"1840","23045A"
"182","23047",16486,"1831","23047B"
"183","23047",16486,"1931","23047B"
"184","23047",16486,"1830","23047A"
"185","23047",16486,"1934","23047B"
"186","23050",20239,"1860","23050A"
"187","23050",20239,"1861","23050B"
"188","23052",17740,"1785","23052A"
"189","23060",14890,"1745","23060A"
"190","23062",25978,"3090","23062A"
"191","23064",4567,"1674","23064D"
"192","23064",4567,"1673","23064C"
"193","23064",4567,"1670","23064A"
"194","23064",4567,"1671","23064B"
"195","23077",36052,"1600","23077A"
"196","23077",36052,"1601","23077E"
"197","23077",36052,"1602","23077D"
"198","23081",12614,"1820","23081A"
"199","23086",16488,"1742","23086C"
"200","23086",16488,"1741","23086B"
"201","23086",16488,"1740","23086A"
"202","23088",46993,"1804","23088A"
"203","23088",46993,"1800","23088A"
"204","23094",36408,"1933","23094C"
"205","23094",36408,"1935","23094A"
"206","23094",36408,"1932","23094D"
"207","23094",36408,"1930","23094A"
"208","23096",23357,"1980","23096A"
"209","23096",23357,"1980","23096E"
"210","23096",23357,"1981","23096B"
"211","23096",23357,"1982","23096D"
"212","23097",11866,"1760","23097A-I"
"213","23097",11866,"1761","23097B"
"214","23098",5851,"1620","23098A"
"215","23099",14051,"1950","23099A"
"216","23100",4640,"1630","23100A"
"217","23101",18739,"1640","23101A"
"218","23102",17743,"1780","23102A"
"219","23103",14608,"1970","23103A"
"220","23104",9431,"1750","23104B"
"221","23105",13556,"1790","23105A"
"222","24001",30854,"3200","24001A"
"223","24001",30854,"3202","24001C"
"224","24001",30854,"3201","24001B"
"225","24007",10487,"3130","24007B"
"226","24008",6672,"3460","24008A"
"227","24008",6672,"3461","24008C"
"228","24009",10276,"3060","24009A"
"229","24009",10276,"3061","24009C"
"230","24011",10469,"3360","24011A"
"231","24014",13263,"3190","24014A"
"232","24014",13263,"3191","24014B"
